ID,Title,Summary,Date,Writer
4874728,"트로트 가수 하이, '미운정' 들고 3집 발매...""무명 설움 날려야죠“","‘애인이란 이름으로’로 이름을 알렸던 트로트 가수 하이가 최근 3집 발매를 하고 본격적인 활동에 나섰습니다. 2010년, ‘어디쯤 가고 있나요’를 통해 가수로 데...",2022-11-01 15:12,
4874549,"""능력껏 지켜""... 하지원, 지승현과 호텔 매각건으로 대립 ('커튼콜')",'커튼콜' 하지원과 지승현이 호텔 매각건으로 대립했다. 31일 첫 방송된 KBS2 월화드라마 '커튼콜'에서는 박세연(하지원 분)과 박세준(지승현 분)과 신경...,2022-10-31 23:08,박정수
4874543,"박세리→남궁민, 이태원 참사 애도 물결 ""Pray For 이태원""",골프 스타 박세리부터 배우 남궁민이 이태원 참사에 깊은 애도의 뜻을 표했다. 박세리는 31일 자신의 SNS에 “상상할 수도 없는 가슴 아픈 일이 일어났습니다”...,2022-10-31 22:48,양소영
4874542,"'커튼콜' 고두심, 3개월 시한부 선고→호텔 회장으로 복귀",'커튼콜' 고두심이 시한부 판정을 받았다. 31일 첫 방송된 KBS2 월화드라마 '커튼콜'에서는 자금순(고두심 분)이 병원에서 진료받는 모습이 전파를 탔다....,2022-10-31 22:44,박정수
4874539,"'커튼콜' 하지원, 강하늘과 피난 도중 이산가족 됐다... ""꼭 살아라""",'커튼콜' 첫 방송됐다. 31일 첫 방송된 KBS2 월화드라마 '커튼콜'에서는 자금순(고두심 분)의 과거 모습이 공개되며 남편과 헤어지는 모습이 전파를 탔다...,2022-10-31 22:30,박정수
4874536,"[종합] '물어보살' 서장훈, 현실적 문제로 이별한 의뢰인에 '현실 조언'",'물어보살' 현실적인 문제로 이별한 의뢰인이 출연했다. 31일 방송된 KBS Joy 예능프로그램 '무엇이든 물어보살'(이하 '물어보살')에서는 운명의 상대를...,2022-10-31 22:08,박정수
4874534,"프리지아, 핼러윈 영상 비공개 전환…이태원 참사 애도",유튜버 프리지아(본명 송지아)가 핼러윈 콘텐츠를 비공개로 전환했다. 프리지아는 31일 SNS를 통해 “29일 이태원에서 발생한 참사 사고에 깊은 애도를 표한다...,2022-10-31 22:02,양소영
4874528,'심야카페' 시사회 일정 변경…이태원 참사 애도,‘심야카페’가 이태원 참사 여파로 시사회 일정을 변경했다. 영화 ‘심야카페: 미씽 허니’(이하 심야카페) 측은 31일 “‘심야카페’의 언론배급 시사회가 11월...,2022-10-31 21:38,양소영
4874521,"'물어보살' 서장훈, 낙하산 입사 의뢰인 '복직 희망'에 ""나라도 안 뽑아""",'물어보살' 복직을 희망하는 의로인이 출연했다. 31일 방송된 KBS Joy 예능프로그램 '무엇이든 물어보살'(이하 '물어보살')에서는 33세 남성이 의뢰인...,2022-10-31 21:26,박정수
4874519,"'스맨파' 서울 콘서트, 내년 연기…강릉 공연은 취소",‘스맨파’ 콘서트가 연기 및 취소됐다. 엠넷 ‘스트릿 맨 파이터’(이하 스맨파) 측은 31일 공식 SNS를 통해 “국가적 애도에 뜻을 같이 하기 위해 전국투어...,2022-10-31 21:16,양소영
4874516,"'물어보살' 이수근, 공주 옷 마니아에 ""너 관종이지?"" 웃음",'물어보살' 이수근 공주 옷 마니아 의뢰인을 만났다. 31일 방송된 KBS Joy 예능프로그램 '무엇이든 물어보살'(이하 '물어보살')에서는 21세 여성이 ...,2022-10-31 21:00,박정수
4874513,'유퀴즈' 2일 결방 확정…국가 애도 기간 동참[공식],‘유퀴즈’가 이번 주 결방한다. 31일 tvN은 “11월 5일까지 국가애도기간으로 지정됨에 따라 tvN 결방이 추가됐다. 11월 2일 방송 예정이던 ‘유 퀴즈...,2022-10-31 20:48,양소영
4874512,"'물어보살' 이수근, '아내 바보' 면모... ""첫사랑이자 마지막 사랑""",'물어보살' 이수근이 아내에 대한 애정을 표현했다. 31일 방송된 KBS Joy 예능프로그램 '무엇이든 물어보살'(이하 '물어보살')에서는 이수근이 아내에 ...,2022-10-31 20:44,박정수
4874511,"정동원, 앨범 발매·콘서트 티켓 오픈 연기…이태원 참사 애도",가수 정동원의 신보 발매 및 콘서트 티켓 오픈 일정이 잠정 연기됐다. 31일 소속사 쇼플레이엔터테인먼트는 정동원 공식 팬카페를 통해 “11월 11일 발매 예정...,2022-10-31 20:40,양소영
4874506,"방탄소년단 진, 아르헨티나 공연 마치고 귀국",그룹 방탄소년단(BTS) 진이 아르헨티나 공연을 마치고 귀국했다. 방탄소년단 진은 31일 오후 인천국제공항을 통해 입국했다. 마스크를 착용한 진은 편안한 셔츠...,2022-10-31 20:10,양소영
4874447,[단독] '일당백집사' 이번주 결방…이태원 참사 애도,"'일당백집사'가 이번 주 결방하며 이태원 참사를 애도한다. 31일 MBC 수목드라마 '일당백집사'(극본 이선혜, 연출 심소연 박선영) 관계자는 매일경제 스타투...",2022-10-31 18:00,김소연
4874439,"[포토] BTS 진, 슬리퍼 신고 편안하게",그룹 방탄소년단(BTS) 진이 콜드플레이의 월드투어 '뮤직 오브 더 스피어스(MUSIC of the SPHERES)'에 참석한 후 31일 오후 인천국제공항을 통...,2022-10-31 17:54,강영국
4874436,"[포토] 진, 눈만 봐도 좋아",그룹 방탄소년단(BTS) 진이 콜드플레이의 월드투어 '뮤직 오브 더 스피어스(MUSIC of the SPHERES)'에 참석한 후 31일 오후 인천국제공항을 통...,2022-10-31 17:54,강영국
4874428,"[포토] 진, 가릴 수 없는 잘생김",그룹 방탄소년단(BTS) 진이 콜드플레이의 월드투어 '뮤직 오브 더 스피어스(MUSIC of the SPHERES)'에 참석한 후 31일 오후 인천국제공항을 통...,2022-10-31 17:50,강영국
4874427,[포토] 입국장 들어서는 진,그룹 방탄소년단(BTS) 진이 콜드플레이의 월드투어 '뮤직 오브 더 스피어스(MUSIC of the SPHERES)'에 참석한 후 31일 오후 인천국제공항을 통...,2022-10-31 17:48,강영국
4874426,"가수 박희석 “故 이지한, 미안하고 사랑한다”","가수 박희석이 이태원 참사로 스물 넷 아까운 나이에 사망한 배우 고(故) 이지한을 추모했다. 박희석은 31일 자신의 인스타그램에 고인과 추억을 떠올리며 “""일본...",2022-10-31 17:48,진향희
4874424,"[포토] 진, 아미들에게 손인사",그룹 방탄소년단(BTS) 진이 콜드플레이의 월드투어 '뮤직 오브 더 스피어스(MUSIC of the SPHERES)'에 참석한 후 31일 오후 인천국제공항을 통...,2022-10-31 17:46,강영국
4874421,"[포토] 진, '디 아스트로넛' 선보이고 귀국",그룹 방탄소년단(BTS) 진이 콜드플레이의 월드투어 '뮤직 오브 더 스피어스(MUSIC of the SPHERES)'에 참석한 후 31일 오후 인천국제공항을 통...,2022-10-31 17:44,강영국
